epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3743,1.15361,2.26898,1.48151,0.92423,0.83266,0.90489,0.75363,0.6641,0.47024,1.05245,0.00326667,0.00326667,0.00326667
2,30.3754,0.74168,0.75152,1.08921,0.96385,0.83866,0.94275,0.7826,0.63913,0.69321,1.01694,0.00659347,0.00659347,0.00659347
3,45.4651,0.7268,0.67644,1.07314,0.97311,0.85006,0.95721,0.76292,0.7518,0.5883,1.11553,0.00991367,0.00991367,0.00991367
4,60.5976,0.79414,0.67118,1.08521,0.96053,0.84161,0.93035,0.74626,0.71402,0.57495,1.05055,0.0099703,0.0099703,0.0099703
5,75.9191,0.82852,0.64567,1.13329,0.94057,0.81735,0.90528,0.73915,0.73518,0.69637,1.09577,0.0099604,0.0099604,0.0099604
6,91.2187,0.82191,0.59692,1.13015,0.96154,0.85658,0.95176,0.76534,0.70386,0.52523,1.05105,0.0099505,0.0099505,0.0099505
7,106.56,0.77808,0.59144,1.11299,0.8905,0.83525,0.91018,0.75355,0.68095,0.62938,1.06514,0.0099406,0.0099406,0.0099406
8,121.954,0.78404,0.5847,1.09998,0.96332,0.89284,0.95452,0.75585,0.74737,0.45631,1.13109,0.0099307,0.0099307,0.0099307
9,137.532,0.76193,0.5861,1.08946,0.97862,0.87225,0.94683,0.76663,0.70746,0.50003,1.05263,0.0099208,0.0099208,0.0099208
10,153.071,0.7797,0.57102,1.10783,0.98644,0.86285,0.95967,0.78248,0.66855,0.47678,1.05017,0.0099109,0.0099109,0.0099109
11,168.664,0.7629,0.56391,1.09833,0.95446,0.90542,0.96519,0.79778,0.6686,0.46661,1.04051,0.009901,0.009901,0.009901
12,184.266,0.77177,0.54916,1.09499,0.96981,0.8791,0.95915,0.78113,0.67614,0.47353,1.02543,0.0098911,0.0098911,0.0098911
13,200.173,0.7374,0.53397,1.07845,0.91883,0.93002,0.96436,0.79806,0.64699,0.4384,1.00168,0.0098812,0.0098812,0.0098812
14,215.864,0.74139,0.53092,1.08596,0.94259,0.91236,0.96108,0.79847,0.63391,0.44654,1.0149,0.0098713,0.0098713,0.0098713
15,231.567,0.74415,0.5343,1.09452,0.95997,0.88581,0.96331,0.78284,0.65362,0.45259,1.04023,0.0098614,0.0098614,0.0098614
16,247.219,0.721,0.50989,1.07634,0.94848,0.90883,0.96401,0.76884,0.71332,0.44506,1.08722,0.0098515,0.0098515,0.0098515
17,263.021,0.73097,0.50928,1.0828,0.986,0.87074,0.9642,0.81029,0.63167,0.44617,1.03051,0.0098416,0.0098416,0.0098416
18,278.817,0.74605,0.49828,1.09921,0.94366,0.9031,0.96605,0.81038,0.63754,0.4124,1.04008,0.0098317,0.0098317,0.0098317
19,294.65,0.72161,0.52038,1.08475,0.96322,0.91056,0.9732,0.79723,0.65403,0.3997,1.02802,0.0098218,0.0098218,0.0098218
20,311.286,0.70928,0.50159,1.07321,0.95231,0.90944,0.9718,0.81111,0.61435,0.38248,1.00826,0.0098119,0.0098119,0.0098119
21,328.005,0.68998,0.49723,1.05487,0.98264,0.90178,0.96827,0.80301,0.63002,0.39312,0.99655,0.009802,0.009802,0.009802
22,344.316,0.7017,0.50358,1.05242,0.98549,0.91696,0.9796,0.81178,0.60402,0.3683,0.99657,0.0097921,0.0097921,0.0097921
23,360.138,0.68906,0.47688,1.05989,0.95776,0.93209,0.97961,0.81027,0.6478,0.38041,1.03383,0.0097822,0.0097822,0.0097822
24,376.213,0.6738,0.47765,1.05535,0.98535,0.88968,0.96992,0.80608,0.59837,0.37971,1.01344,0.0097723,0.0097723,0.0097723
25,392.912,0.69176,0.46748,1.06595,0.97016,0.9367,0.98518,0.81839,0.6349,0.38212,1.01396,0.0097624,0.0097624,0.0097624
26,409.186,0.67935,0.46887,1.05248,0.97132,0.9347,0.97995,0.82654,0.6016,0.35015,1.00103,0.0097525,0.0097525,0.0097525
27,425.608,0.68568,0.4621,1.05305,0.97705,0.9356,0.97815,0.82471,0.57919,0.33715,0.96908,0.0097426,0.0097426,0.0097426
28,441.747,0.6741,0.45953,1.04289,0.95425,0.90441,0.96761,0.80595,0.62456,0.37862,1.01548,0.0097327,0.0097327,0.0097327
29,458.417,0.66531,0.4612,1.05297,0.94949,0.9162,0.9764,0.81733,0.60288,0.36282,1.00801,0.0097228,0.0097228,0.0097228
30,474.944,0.65127,0.45058,1.04301,0.98221,0.91696,0.98041,0.818,0.63049,0.35663,1.02766,0.0097129,0.0097129,0.0097129
31,491.311,0.64621,0.43532,1.04571,0.97604,0.92046,0.9772,0.82292,0.6223,0.36069,1.02805,0.009703,0.009703,0.009703
32,507.907,0.6424,0.44296,1.03706,0.98875,0.89465,0.97932,0.82679,0.60609,0.36489,1.00556,0.0096931,0.0096931,0.0096931
33,523.865,0.66544,0.46109,1.0486,0.95891,0.95611,0.98252,0.82701,0.60577,0.34803,1.00282,0.0096832,0.0096832,0.0096832
34,539.682,0.64533,0.45558,1.04229,0.98304,0.89373,0.97966,0.83084,0.58809,0.36079,0.98955,0.0096733,0.0096733,0.0096733
35,555.533,0.63284,0.4555,1.0346,0.98015,0.9038,0.97327,0.82431,0.57247,0.37199,0.97986,0.0096634,0.0096634,0.0096634
36,571.393,0.6407,0.44367,1.03933,0.96424,0.91185,0.97343,0.82102,0.60327,0.38129,0.99912,0.0096535,0.0096535,0.0096535
37,587.294,0.66068,0.45288,1.0525,0.95574,0.9299,0.97529,0.81836,0.60426,0.36373,1.0181,0.0096436,0.0096436,0.0096436
38,603.067,0.64067,0.43267,1.03568,0.99043,0.89676,0.97733,0.83168,0.57126,0.35629,1.00278,0.0096337,0.0096337,0.0096337
39,618.925,0.63841,0.4374,1.05179,0.98293,0.91902,0.96938,0.82341,0.58936,0.33704,1.00577,0.0096238,0.0096238,0.0096238
40,634.835,0.63494,0.43121,1.03637,0.99227,0.91646,0.98498,0.83625,0.60033,0.3388,1.00826,0.0096139,0.0096139,0.0096139
41,650.706,0.61804,0.42099,1.0282,0.9543,0.94016,0.9841,0.83305,0.58491,0.33257,0.97154,0.009604,0.009604,0.009604
42,666.551,0.63847,0.43231,1.0158,0.96539,0.92961,0.97743,0.83371,0.5561,0.31156,0.96423,0.0095941,0.0095941,0.0095941
43,682.354,0.64336,0.4365,1.02385,0.97923,0.94212,0.98319,0.84748,0.56659,0.31109,0.98186,0.0095842,0.0095842,0.0095842
44,698.316,0.60347,0.41207,1.0052,0.9754,0.92411,0.97682,0.84309,0.58422,0.33449,0.98723,0.0095743,0.0095743,0.0095743
45,714.107,0.60779,0.41393,1.00728,0.97742,0.94823,0.97596,0.83313,0.56412,0.3194,0.97689,0.0095644,0.0095644,0.0095644
46,729.929,0.60952,0.40638,1.01953,0.95731,0.91803,0.9765,0.81858,0.62893,0.34347,1.00938,0.0095545,0.0095545,0.0095545
47,745.85,0.60566,0.41018,1.01349,0.99138,0.92038,0.98244,0.844,0.57075,0.31683,0.96885,0.0095446,0.0095446,0.0095446
48,761.796,0.59507,0.39511,0.99535,0.95121,0.9444,0.97881,0.82648,0.57081,0.32145,0.97904,0.0095347,0.0095347,0.0095347
49,777.639,0.58884,0.40014,1.00126,0.95571,0.91845,0.97218,0.8256,0.5799,0.34565,0.98972,0.0095248,0.0095248,0.0095248
50,793.488,0.59658,0.40406,0.99597,0.96456,0.92156,0.97828,0.83371,0.58613,0.3418,0.99956,0.0095149,0.0095149,0.0095149
51,809.307,0.59222,0.39016,0.9943,0.99089,0.91559,0.98116,0.84128,0.55905,0.30886,0.98508,0.009505,0.009505,0.009505
52,825.258,0.59522,0.39936,1.00892,0.98941,0.9285,0.98248,0.83715,0.5695,0.31971,0.98894,0.0094951,0.0094951,0.0094951
53,841.093,0.59425,0.39043,1.00825,0.96293,0.923,0.97575,0.83927,0.56893,0.31757,0.98691,0.0094852,0.0094852,0.0094852
54,856.926,0.60539,0.39497,1.02077,0.97465,0.929,0.98231,0.84369,0.56179,0.30668,0.99081,0.0094753,0.0094753,0.0094753
55,872.787,0.57866,0.37959,1.0044,0.98968,0.93069,0.98345,0.84646,0.54933,0.29863,0.9891,0.0094654,0.0094654,0.0094654
56,888.848,0.5777,0.3803,1.00777,0.98653,0.92904,0.98096,0.84016,0.58376,0.31435,1.00415,0.0094555,0.0094555,0.0094555
57,904.9,0.60422,0.39359,1.02258,0.98755,0.93067,0.98163,0.84367,0.55405,0.30961,0.9849,0.0094456,0.0094456,0.0094456
58,920.896,0.56585,0.38721,0.99189,0.9733,0.91032,0.97864,0.83128,0.57922,0.32748,0.99486,0.0094357,0.0094357,0.0094357
59,936.852,0.59586,0.3905,1.00792,0.97353,0.92386,0.98191,0.84982,0.56593,0.31615,0.97589,0.0094258,0.0094258,0.0094258
60,952.965,0.56245,0.38231,0.98582,0.94741,0.95875,0.98031,0.84173,0.56143,0.3125,0.97533,0.0094159,0.0094159,0.0094159
61,968.871,0.58898,0.39642,0.99292,0.95895,0.94715,0.98289,0.84317,0.5705,0.30835,0.98262,0.009406,0.009406,0.009406
62,984.678,0.56858,0.38813,0.98384,0.98222,0.93138,0.98367,0.8385,0.55997,0.31505,0.96951,0.0093961,0.0093961,0.0093961
63,1000.62,0.56388,0.38633,0.98556,0.96562,0.93936,0.98213,0.8461,0.56087,0.31249,0.96802,0.0093862,0.0093862,0.0093862
