epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.78939,1.35506,3.43119,1.62445,0.00587,0.82234,0.07032,0.03562,0.97507,3.28451,1.30381,6.25e-05,6.25e-05,6.25e-05
2,3.73528,1.16229,3.28754,1.34238,0.0061,0.85582,0.1997,0.12603,0.8845,3.26168,1.25867,0.000137364,0.000137364,0.000137364
3,4.66944,1.02152,2.86692,1.26612,0.00647,0.90452,0.24346,0.16034,0.87265,3.18884,1.23738,0.000212079,0.000212079,0.000212079
4,5.65559,1.10172,2.63982,1.30827,0.00651,0.90962,0.26524,0.17932,0.91057,3.02935,1.23352,0.000286646,0.000286646,0.000286646
5,6.59153,1.16744,2.46397,1.30644,0.48405,0.11918,0.3749,0.2594,0.96937,2.80277,1.24707,0.000361065,0.000361065,0.000361065
6,7.49676,1.1411,2.29397,1.30516,0.49623,0.13637,0.40308,0.2756,0.97257,2.7057,1.22223,0.000435334,0.000435334,0.000435334
7,8.38997,1.0585,2.20818,1.30577,0.68441,0.2294,0.4012,0.26461,1.1804,2.77882,1.43342,0.000509456,0.000509456,0.000509456
8,9.28754,1.10195,2.08317,1.28371,0.63614,0.38823,0.49517,0.32839,1.13428,2.53254,1.35025,0.000583429,0.000583429,0.000583429
9,10.1906,1.06432,2.08658,1.32013,0.56308,0.49067,0.50066,0.3046,1.21911,2.33925,1.34592,0.000657253,0.000657253,0.000657253
10,11.111,1.01819,1.95112,1.23271,0.65884,0.53792,0.59529,0.37898,1.1087,2.07151,1.32247,0.000730929,0.000730929,0.000730929
11,12.0211,1.08756,1.84753,1.2332,0.61732,0.60872,0.64242,0.4111,1.13217,1.96476,1.41246,0.000804456,0.000804456,0.000804456
12,12.9326,1.06742,1.70858,1.22866,0.62705,0.58329,0.62853,0.42969,1.12156,2.03456,1.44941,0.000877835,0.000877835,0.000877835
13,13.8172,1.04542,1.58656,1.25553,0.6725,0.50331,0.59936,0.38987,1.18953,2.25859,1.51613,0.000951066,0.000951066,0.000951066
14,14.7155,1.06791,1.56958,1.24936,0.5244,0.54389,0.53285,0.35475,1.20091,2.33986,1.47423,0.00102415,0.00102415,0.00102415
15,15.5927,1.04828,1.64846,1.22249,0.54113,0.63746,0.59304,0.40616,1.12031,2.53337,1.45237,0.00109708,0.00109708,0.00109708
16,16.5031,1.10636,1.66283,1.34146,0.66337,0.58465,0.70067,0.47601,1.09099,1.97718,1.36147,0.00116987,0.00116987,0.00116987
17,17.407,1.05628,1.55715,1.27925,0.4779,0.66942,0.6615,0.44958,1.1582,2.2161,1.42634,0.0012302,0.0012302,0.0012302
18,18.3134,0.98569,1.49334,1.23061,0.46023,0.56044,0.59801,0.36114,1.23508,2.81358,1.52599,0.00122896,0.00122896,0.00122896
19,19.2866,1.05413,1.58609,1.28674,0.54322,0.56199,0.59272,0.37284,1.20312,2.42443,1.51021,0.00122773,0.00122773,0.00122773
20,20.204,0.96695,1.34633,1.20063,0.63187,0.60796,0.67995,0.45328,1.07843,2.09641,1.39004,0.00122649,0.00122649,0.00122649
21,21.102,0.99347,1.36701,1.18383,0.673,0.61845,0.70362,0.50626,1.03876,2.09383,1.34992,0.00122525,0.00122525,0.00122525
22,22.0075,0.97549,1.4143,1.20752,0.61973,0.72768,0.75569,0.55301,0.96851,1.86166,1.2896,0.00122401,0.00122401,0.00122401
23,22.8887,0.9508,1.36207,1.19725,0.67623,0.67043,0.76537,0.55503,0.95574,1.93394,1.30099,0.00122277,0.00122277,0.00122277
24,23.8093,0.9914,1.31404,1.24864,0.75472,0.76308,0.80795,0.55954,1.01073,1.59215,1.33249,0.00122154,0.00122154,0.00122154
25,24.7158,1.00818,1.36914,1.20039,0.63409,0.73712,0.76658,0.5373,0.99243,1.7098,1.31579,0.0012203,0.0012203,0.0012203
26,25.6095,0.96668,1.28068,1.1563,0.71727,0.67857,0.74347,0.53302,0.95783,1.88468,1.27412,0.00121906,0.00121906,0.00121906
27,26.4972,0.97721,1.32016,1.16101,0.77433,0.77602,0.84264,0.60186,0.96863,1.58316,1.28621,0.00121783,0.00121783,0.00121783
28,27.4124,0.99142,1.23291,1.19386,0.72769,0.78221,0.88865,0.63007,0.97751,1.36089,1.286,0.00121659,0.00121659,0.00121659
29,28.2868,0.95779,1.16646,1.14098,0.81761,0.75811,0.89439,0.63823,1.01333,1.30223,1.33109,0.00121535,0.00121535,0.00121535
30,29.1976,1.02536,1.49844,1.23171,0.85147,0.75374,0.87302,0.63647,0.97513,1.28407,1.28715,0.00121411,0.00121411,0.00121411
31,30.0892,0.91907,1.1983,1.14954,0.82651,0.73487,0.83821,0.62137,0.9392,1.41276,1.26575,0.00121287,0.00121287,0.00121287
32,30.9848,0.9128,1.14631,1.11185,0.80944,0.74808,0.86471,0.6574,0.91326,1.32792,1.19669,0.00121164,0.00121164,0.00121164
33,31.8745,1.03236,1.25425,1.25189,0.83051,0.81469,0.90898,0.70172,0.87114,1.19631,1.16098,0.0012104,0.0012104,0.0012104
34,32.8534,0.89106,1.11677,1.08828,0.88411,0.8059,0.92339,0.71539,0.83753,1.11908,1.12902,0.00120916,0.00120916,0.00120916
35,33.76,0.90493,1.12122,1.09283,0.8206,0.85115,0.91707,0.68949,0.85556,1.19133,1.1364,0.00120793,0.00120793,0.00120793
36,34.6687,1.09686,1.26175,1.3078,0.80287,0.81108,0.87385,0.65212,0.92064,1.31144,1.19754,0.00120669,0.00120669,0.00120669
37,35.5733,0.9262,1.13523,1.14793,0.77157,0.81544,0.84136,0.62025,0.901,1.37675,1.18152,0.00120545,0.00120545,0.00120545
38,36.4798,0.8949,1.17125,1.16527,0.88124,0.81366,0.90267,0.69184,0.84501,1.16777,1.15979,0.00120421,0.00120421,0.00120421
39,37.3861,0.84217,1.15917,1.13554,0.90134,0.83213,0.93548,0.723,0.856,1.0592,1.17433,0.00120298,0.00120298,0.00120298
40,38.281,0.889,1.05616,1.16261,0.90205,0.86953,0.95369,0.73972,0.87747,0.99901,1.17799,0.00120174,0.00120174,0.00120174
41,39.1749,0.82643,1.00575,1.06943,0.86903,0.82873,0.93923,0.71867,0.93478,1.08532,1.22528,0.0012005,0.0012005,0.0012005
42,40.0904,0.91055,1.06192,1.11869,0.8028,0.80068,0.90058,0.67307,0.95275,1.24714,1.25704,0.00119926,0.00119926,0.00119926
43,40.9861,0.82272,0.98258,1.1113,0.80165,0.77048,0.88087,0.66381,0.90035,1.19142,1.18618,0.00119802,0.00119802,0.00119802
44,41.8824,0.94234,1.13766,1.1411,0.83664,0.87402,0.92168,0.7066,0.87588,0.9697,1.23151,0.00119679,0.00119679,0.00119679
45,42.7895,0.84282,0.95575,1.10373,0.88562,0.85894,0.94161,0.67654,0.98889,0.94792,1.3328,0.00119555,0.00119555,0.00119555
46,43.6957,0.84168,0.91818,1.10654,0.94,0.87449,0.96616,0.76766,0.81129,0.84248,1.14622,0.00119431,0.00119431,0.00119431
47,44.6965,0.84839,0.9378,1.11507,0.90833,0.90763,0.96768,0.75154,0.82192,0.85829,1.12271,0.00119308,0.00119308,0.00119308
48,45.6036,0.89235,1.15085,1.16486,0.91225,0.923,0.96488,0.73583,0.84502,0.83648,1.1338,0.00119184,0.00119184,0.00119184
49,46.5217,0.84337,0.97016,1.14352,0.94346,0.87662,0.96443,0.73315,0.85684,0.83173,1.13677,0.0011906,0.0011906,0.0011906
50,47.4177,0.82909,1.01946,1.11474,0.89347,0.8961,0.94895,0.72646,0.84815,0.88115,1.13051,0.00118936,0.00118936,0.00118936
51,48.3376,0.86431,0.99959,1.10827,0.89639,0.8642,0.93314,0.71811,0.83951,0.9251,1.12526,0.00118812,0.00118812,0.00118812
52,49.2575,0.8236,0.98812,1.0851,0.83161,0.69816,0.83435,0.60819,0.97202,1.26529,1.19551,0.00118689,0.00118689,0.00118689
53,50.1623,0.88359,1.11949,1.15371,0.81155,0.69286,0.79251,0.58108,1.0159,1.44647,1.23656,0.00118565,0.00118565,0.00118565
54,51.059,0.8733,1.03346,1.22278,0.80013,0.80448,0.8632,0.66337,0.85803,1.33777,1.14727,0.00118441,0.00118441,0.00118441
55,51.9521,0.83439,1.05177,1.13061,0.82101,0.84677,0.91027,0.71224,0.81614,1.11056,1.12378,0.00118317,0.00118317,0.00118317
56,52.8455,0.8607,1.09281,1.07119,0.78459,0.79627,0.88823,0.67795,0.82151,0.98784,1.11564,0.00118194,0.00118194,0.00118194
